TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
3.30.505.10	-	0.000790218506824722	-7.14320105983005	113	18	0.0245901639344262	732	10485	284948,4068,4690,6461,868,660,8835,25,1399,6503,84174,3717,646892,6452,6772,6778,53358,6776	SH2D6,SH2D1A,NCK1,SHB,CBLB,BMX,SOCS2,ABL1,CRKL,SLA,SLA2,JAK2,SH2D7,SH3BP2,STAT1,STAT6,SHC3,STAT5A
1.10.418.10	-	0.00127945561108331	-6.6613205953591	72	13	0.0177595628415301	732	10485	10634,4008,89795,8407,5339,2620,85458,8874,8826,283431,9645,89797,6525	GAS2L1,LMO7,NAV3,TAGLN2,PLEC,GAS2,DIXDC1,ARHGEF7,IQGAP1,GAS2L3,MICAL2,NAV2,SMTN
3.40.80.10	-	0.00128518284828781	-6.65685427637044	4	3	0.00409836065573771	732	10485	114771,114770,57115	PGLYRP3,PGLYRP2,PGLYRP4
3.30.1220.10	-	0.00304596884683205	-5.7939362521281	5	3	0.00409836065573771	732	10485	220869,644019,445571	CBWD5,CBWD6,CBWD3
1.10.565.10	-	0.00535010145689546	-5.23063975434834	48	9	0.0122950819672131	732	10485	3172,5916,7068,2104,8013,367,4306,6096,3164	HNF4A,RARG,THRB,ESRRG,NR4A3,AR,NR3C2,RORB,NR4A1
3.40.640.10	-	0.00565798374586437	-5.17468767887741	40	8	0.0109289617486339	732	10485	2875,9054,2805,3067,2571,9517,212,23042	GPT,NFS1,GOT1,HDC,GAD1,SPTLC2,ALAS2,PDXDC1
3.30.920.20	-	0.00577647525131983	-5.1539616004233	6	3	0.00409836065573771	732	10485	283431,2620,10634	GAS2L3,GAS2,GAS2L1
3.30.50.10	-	0.00633141427494291	-5.06223164361992	58	10	0.0136612021857923	732	10485	54815,7068,2104,5916,3172,8013,3164,6096,4306,367	GATAD2A,THRB,ESRRG,RARG,HNF4A,NR4A3,NR4A1,RORB,NR3C2,AR
1.20.1050.20	-	0.00958730225493427	-4.64731573780167	7	3	0.00409836065573771	732	10485	6778,6776,6772	STAT6,STAT5A,STAT1
1.10.532.10	-	0.00958730225493427	-4.64731573780167	7	3	0.00409836065573771	732	10485	6776,6778,6772	STAT5A,STAT6,STAT1
