TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
1.10.30.10	-	0.111994891110605	-2.18930202381132	51	5	0.0121654501216545	411	8168	102216265,378723,554137,30556,64812	sox8a,sox2,hbp1,tcf7l1b,sox19b
3.30.1490.20	-	0.119511092420048	-2.12434608831969	12	2	0.0048661800486618	411	8168	570672,559403	syn1,acaca
2.60.40.1400	-	0.119511092420048	-2.12434608831969	12	2	0.0048661800486618	411	8168	569052,556608	kcnj1a.6,kcnj1b
4.10.800.10	-	0.136729891135083	-1.98974789686506	13	2	0.0048661800486618	411	8168	100150352,403039	igfbp6a,igfbp5b
2.60.210.10	-	0.136729891135083	-1.98974789686506	13	2	0.0048661800486618	411	8168	558170,541318	spoplb,spopla
3.10.290.10	-	0.143503221633443	-1.9413977936272	3	1	0.0024330900243309	411	8168	114420	rps9
3.40.980.10	-	0.143503221633443	-1.9413977936272	3	1	0.0024330900243309	411	8168	555470	gphna
2.20.60.10	-	0.143503221633443	-1.9413977936272	3	1	0.0024330900243309	411	8168	30277	mdka
1.10.150.160	-	0.143503221633443	-1.9413977936272	3	1	0.0024330900243309	411	8168	368924	fkbp5
1.10.287.700	-	0.143503221633443	-1.9413977936272	3	1	0.0024330900243309	411	8168	550229	sncga
3.40.50.10480	-	0.143503221633443	-1.9413977936272	3	1	0.0024330900243309	411	8168	402823	bxdc2
3.90.340.10	-	0.143503221633443	-1.9413977936272	3	1	0.0024330900243309	411	8168	60658	nos1
2.30.90.10	-	0.143503221633443	-1.9413977936272	3	1	0.0024330900243309	411	8168	30277	mdka
3.10.250.10	-	0.154448045566433	-1.86789751384825	14	2	0.0048661800486618	411	8168	569259,564500	si:dkey-33i11.3,scara5
1.25.40.180	-	0.154448045566433	-1.86789751384825	14	2	0.0048661800486618	411	8168	321061,445110	pdcd4b,paip1
1.25.40.90	-	0.172572038373268	-1.756940515929	15	2	0.0048661800486618	411	8168	323870,334701	clint1a,rprd2a
1.10.810.10	-	0.186616531604724	-1.67869940068428	4	1	0.0024330900243309	411	8168	447914	cox17
4.10.1170.10	-	0.186616531604724	-1.67869940068428	4	1	0.0024330900243309	411	8168	327321	mapkapk2a
1.25.40.280	-	0.186616531604724	-1.67869940068428	4	1	0.0024330900243309	411	8168	321330	rhpn2
3.40.33.10	-	0.186616531604724	-1.67869940068428	4	1	0.0024330900243309	411	8168	393547	glipr1b
4.10.1120.10	-	0.186616531604724	-1.67869940068428	4	1	0.0024330900243309	411	8168	393758	pde6h
3.30.470.20	-	0.191016458519332	-1.65539568438967	16	2	0.0048661800486618	411	8168	559403,570672	acaca,syn1
2.60.40.670	-	0.227564670449145	-1.48032081527645	5	1	0.0024330900243309	411	8168	406426	spint1a
2.60.40.340	-	0.227564670449145	-1.48032081527645	5	1	0.0024330900243309	411	8168	415100	nfkb2
1.10.245.10	-	0.227564670449145	-1.48032081527645	5	1	0.0024330900243309	411	8168	562140	smarcd3b
2.60.120.340	-	0.227564670449145	-1.48032081527645	5	1	0.0024330900243309	411	8168	553507	npm1b
1.10.600.10	-	0.227564670449145	-1.48032081527645	5	1	0.0024330900243309	411	8168	336798	ggps1
1.20.930.40	-	0.227564670449145	-1.48032081527645	5	1	0.0024330900243309	411	8168	494478	tfr1b
2.160.20.70	-	0.227564670449145	-1.48032081527645	5	1	0.0024330900243309	411	8168	100037389	tbccd1
3.30.450.50	-	0.227564670449145	-1.48032081527645	5	1	0.0024330900243309	411	8168	324832	sec22a
3.30.740.10	-	0.227564670449145	-1.48032081527645	5	1	0.0024330900243309	411	8168	445209	dnal4a
