"","geneset","source","zeb_p","zeb_p3","zeb_p5","mouse_p","mouse_p3","mouse_p5","human_p","human_p3","human_p5","wilk_p","wilk_p3","wilk_p5","wilk_adj","wilk_adj3","wilk_adj5"
"907","GO_POSITIVE_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS","c5",0.0133630694271774,0.0265542020547583,0.127914609991283,6.65253832907258e-13,2.3512441370574e-11,3.54689381613127e-06,1.59138911014937e-20,4.9232898419854e-19,5.69974334870712e-09,1.3276879865928e-24,1.65850469758804e-21,3.77412779856493e-11,1.38438026362031e-20,1.72932284817505e-17,3.93528305556366e-07
"908","GO_DEPHOSPHORYLATION","c5",0.585755092664146,0.213482969530338,0.264496202050691,2.19772439067349e-06,3.26341173236478e-06,0.00960301179818029,1.48407889896622e-08,3.71162440694781e-07,3.31117581869632e-06,1.44899562620989e-11,3.19494988950773e-11,0.000274882368861507,1.51086773944905e-07,3.33137424978971e-07,1
"909","GO_INTRACELLULAR_RECEPTOR_SIGNALING_PATHWAY","c5",0.480466644496416,0.628825599909958,0.556083463660938,3.91598277044974e-08,4.44153317371495e-06,1.19003707216544e-06,1.26300031186349e-06,0.000211567970135049,7.71821783778019e-06,4.78550533390191e-12,1.34264077970839e-07,1.78711740212126e-10,4.98984641165952e-08,0.00139997154100194,1.86342731519184e-06
"910","GO_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS","c5",0.648504079444178,0.211070134524732,0.506304388347502,7.10000552896816e-06,5.63608415695862e-05,0.000531298126844506,1.19093784432903e-09,1.352425243074e-08,2.17377734570313e-06,1.51229519710463e-10,9.52927532185762e-09,8.46533151539358e-07,1.576870202021e-06,9.93617537810095e-05,0.00882680117110088
"911","GO_RHYTHMIC_PROCESS","c5",0.479356045618058,0.565042805336502,0.676264260301974,0.000333225786337597,0.121500649372808,2.32181409441276e-07,5.14875118952744e-09,3.46397014717396e-05,8.57479058488381e-08,3.33044271641723e-07,0.0406999391265122,1.61724595637445e-13,0.00347265262040824,1,1.68630235871164e-09
"912","GO_STEROID_HORMONE_MEDIATED_SIGNALING_PATHWAY","c5",0.626300539995719,0.711897525216409,0.513318597353192,1.56933211318519e-07,0.00018295152920551,1.00423693361225e-07,4.32501454519367e-05,0.00105224402613637,8.25375514063689e-06,5.61156343955233e-09,3.3193223456389e-06,2.04372297199316e-10,5.85117719842122e-05,0.0346105740979768,2.13098994289727e-06
"913","GO_REGULATION_OF_ANATOMICAL_STRUCTURE_MORPHOGENESIS","c5",0.299495000885895,0.647156023008654,0.15870462985586,4.46542735765379e-06,1.67030787256794e-05,0.000240721485340406,6.53138306246059e-22,2.14787843323069e-16,4.02624007114068e-13,5.98199463778351e-11,8.36969196670025e-10,1.7381260241781e-07,6.23742580881687e-07,8.72707781367835e-06,0.00181234400541051
"914","GO_CELL_JUNCTION_ASSEMBLY","c5",0.293882414545841,0.393299956408005,0.357730694730815,0.0272194865584558,0.229306194606191,0.000875780989524149,9.24988027130297e-11,1.96922751999361e-09,2.71746219539713e-05,0.00218236748591934,0.133629542869285,2.2996335902119e-06,1,1,0.0239782794451395
"915","GO_MACROMOLECULE_CATABOLIC_PROCESS","c5",0.0590830232890729,0.0389579912949043,1,2.99720399351161e-09,2.14784095371332e-08,0.000799124653853562,4.10528822652875e-18,4.82239835071647e-19,1.09356711067311e-07,2.69496952823166e-17,1.38396620891752e-15,1.91477999484236e-06,2.81004472708716e-13,1.4430615660383e-11,0.0199654110062213
"916","GO_DEVELOPMENTAL_PROCESS_INVOLVED_IN_REPRODUCTION","c5",0.198027857360089,0.197124114879862,0.351675249664481,0.0599738813119068,0.25874600529574,0.000407562658239531,1.80713270727915e-10,3.76881208243321e-07,4.75394331723743e-08,0.0103591632369556,0.101254085143325,4.98186562891715e-07,1,1,0.00519459129127191
