Id	text	size	colour
ENSDARG00000025797	NA	1	NA
ENSDARG00000018574	NA	1	NA
ENSDARG00000102762	NA	1	NA
ENSDARG00000099448	NA	1	NA
ENSDARG00000056138	NA	1	NA
ENSDARG00000109783	NA	1	NA
ENSDARG00000092134	NA	1	NA
ENSDARG00000098135	NA	1	NA
ENSDARG00000062960	NA	1	NA
ENSDARG00000103114	NA	1	NA
ENSDARG00000087907	NA	1	NA
ENSDARG00000102252	NA	1	NA
ENSDARG00000021032	NA	1	NA
ENSDARG00000009837	NA	1	NA
ENSDARG00000075509	NA	1	NA
ENSDARG00000074303	NA	1	NA
ENSDARG00000060482	NA	1	NA
ENSDARG00000061600	NA	1	NA
ENSDARG00000042236	NA	1	NA
ENSDARG00000038225	NA	1	NA
ENSDARG00000040237	NA	1	NA
ENSDARG00000044688	NA	1	NA
ENSDARG00000029146	NA	1	NA
ENSDARG00000097827	NA	1	NA
ENSDARG00000100515	NA	1	NA
ENSDARG00000102023	NA	1	NA
ENSDARG00000045150	NA	1	NA
ENSDARG00000069989	NA	1	NA
ENSDARG00000038608	NA	1	NA
ENSDARG00000052468	NA	1	NA
ENSDARG00000017803	NA	1	NA
ENSDARG00000053389	NA	1	NA
ENSDARG00000015807	NA	1	NA
ENSDARG00000069432	NA	1	NA
ENSDARG00000091614	NA	1	NA
ENSDARG00000079075	NA	1	NA
ENSDARG00000077468	NA	1	NA
ENSDARG00000091266	NA	1	NA
ENSDARG00000058638	NA	1	NA
ENSDARG00000093078	NA	1	NA
ENSDARG00000102460	NA	1	NA
ENSDARG00000100828	NA	1	NA
ENSDARG00000001313	NA	1	NA
ENSDARG00000062765	NA	1	NA
ENSDARG00000100143	NA	1	NA
ENSDARG00000070074	NA	1	NA
ENSDARG00000008485	NA	1	NA
ENSDARG00000101413	NA	1	NA
ENSDARG00000006921	NA	1	NA
ENSDARG00000073765	NA	1	NA
ENSDARG00000037924	NA	1	NA
ENSDARG00000059048	NA	1	NA
ENSDARG00000113771	NA	1	NA
ENSDARG00000077715	NA	1	NA
ENSDARG00000042703	NA	1	NA
ENSDARG00000017107	NA	1	NA
ENSDARG00000027087	NA	1	NA
ENSDARG00000099339	NA	1	NA
ENSDARG00000009525	NA	1	NA
ENSDARG00000093931	NA	1	NA
ENSDARG00000027159	NA	1	NA
ENSDARG00000017084	NA	1	NA
ENSDARG00000036548	NA	1	NA
ENSDARG00000013346	NA	1	NA
ENSDARG00000089893	NA	1	NA
ENSDARG00000055525	NA	1	NA
ENSDARG00000037433	NA	1	NA
ENSDARG00000003169	NA	1	NA
ENSDARG00000070145	NA	1	NA
ENSDARG00000015946	NA	1	NA
ENSDARG00000071868	NA	1	NA
ENSDARG00000062790	NA	1	NA
ENSDARG00000070461	NA	1	NA
ENSDARG00000096594	NA	1	NA
ENSDARG00000037278	NA	1	NA
ENSDARG00000039215	NA	1	NA
ENSDARG00000011545	NA	1	NA
ENSDARG00000061832	NA	1	NA
ENSDARG00000012776	NA	1	NA
ENSDARG00000060578	NA	1	NA
ENSDARG00000077226	NA	1	NA
ENSDARG00000104339	NA	1	NA
ENSDARG00000070479	NA	1	NA
ENSDARG00000068883	NA	1	NA
ENSDARG00000101074	NA	1	NA
ENSDARG00000008816	NA	1	NA
ENSDARG00000011863	NA	1	NA
ENSDARG00000111743	NA	1	NA
ENSDARG00000011941	NA	1	NA
ENSDARG00000020057	NA	1	NA
ENSDARG00000077817	NA	1	NA
ENSDARG00000075735	NA	1	NA
ENSDARG00000078865	NA	1	NA
ENSDARG00000003151	NA	1	NA
ENSDARG00000003904	NA	1	NA
ENSDARG00000042835	NA	1	NA
ENSDARG00000057322	NA	1	NA
ENSDARG00000013292	NA	1	NA
ENSDARG00000090064	NA	1	NA
ENSDARG00000102138	NA	1	NA
