Source	Target
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000166833
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000044115
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000058056
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000006638
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000073737
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000085719
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000110047
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000187109
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000174807
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000071859
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000141458
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000130713
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000167759
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000172262
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000113712
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000125676
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000104969
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000118007
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000170759
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000185650
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000105963
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000196329
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000111596
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000127603
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000100206
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000188372
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000135643
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000138646
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000166326
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000115657
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000072501
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000265972
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000167978
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000163939
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000070756
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000214021
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000132952
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000212710
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000282841
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000112576
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000100281
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000136940
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000102967
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000067182
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000150593
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000132950
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000183431
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000172845
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000003402
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000065883
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000152990
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000105722
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000103353
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000147403
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000272886
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000113578
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000157110
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000111247
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000168309
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000118495
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000268089
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000130208
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000077254
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000092969
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000063244
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000197971
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000047648
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000087074
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000137203
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000177732
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000124782
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000205189
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000250722
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000182054
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000105701
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000103811
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000108848
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000114857
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000114316
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000204580
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000223680
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000229767
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000137332
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000215522
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000234078
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000230456
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000162191
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000205777
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000105650
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000285188
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000100393
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000163602
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000281766
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000174669
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000117298
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000160712
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000144579
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000105325
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000164949
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000114315
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000104859
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000136026
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000165240
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000131626
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000070495
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000184678
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000182492
